,0
roll50_winrate,0.20087302835438337
roll50_pnl_mean,0.1230803111877186
roll50_buy_ratio,0.1178330552032574
roll50_pnl_std,0.0886308211197677
is_buy,0.06410419382598925
Execution_Price_z,0.06052562890128888
roll50_intertrade_mean,0.05699996714931736
sentiment_x_rollwin,0.05483378886064904
roll50_avg_size_usd,0.04657830764868067
Size_USD_z,0.03378682350245084
value_7d_mean,0.03280399978288737
value_3d_mean,0.027665841355497357
value,0.023915990590777605
value_lag1,0.022784518725330032
sentiment_x_size,0.020489824881091637
log_size_usd,0.020387573448785862
sentiment_cat_num,0.004706325462127053
